85.50876732694914%,0.00021529197692871094
85.45848091302636%,10.008305788040161
85.43224452315361%,20.02258014678955
85.40600813328086%,30.03259778022766
85.3272989636626%,40.043126344680786
85.27701254973982%,50.05435228347778
85.22453976999431%,60.0666344165802
85.17206699024881%,70.07647442817688
85.09335782063054%,80.08684802055359
85.04307140670777%,90.10002875328064
84.99059862696227%,100.11292839050293
84.93812584721675%,110.12308597564697
84.86160304342123%,120.13328433036804
84.80913026367571%,130.1448323726654
84.75665748393021%,140.15645027160645
84.7041847041847%,150.16643238067627
84.65389829026192%,160.17656683921814
84.60142551051642%,170.18753170967102
84.52271634089816%,180.2015142440796
84.47024356115266%,190.21303534507751
84.41995714722988%,200.22336077690125
84.36748436748437%,210.2368049621582
84.2887751978661%,220.24979400634766
84.2363024181206%,230.2597155570984
84.18601600419782%,240.2703742980957
84.13354322445231%,250.28148865699768
84.08107044470681%,260.2934241294861
84.0285976649613%,270.30717420578003
83.95207486116577%,280.3193051815033
83.89960208142027%,290.32859921455383
83.820892911802%,300.3401699066162
83.77060649787923%,310.3545913696289
83.71813371813371%,320.36821269989014
83.66566093838821%,330.3798897266388
83.6131881586427%,340.3885781764984
83.56290174471992%,350.3993787765503
83.53666535484717%,360.4097549915314
83.48419257510166%,370.41814279556274
83.40548340548341%,380.42980194091797
83.35519699156063%,390.43953132629395
83.30272421181512%,400.44978499412537
83.25025143206962%,410.4597358703613
83.1977786523241%,420.46987867355347
83.17372862827408%,430.4798159599304
83.12125584852858%,440.4928915500641
83.06878306878306%,450.5033264160156
83.01631028903756%,460.51308250427246
82.96602387511479%,470.5239100456238
82.91355109536927%,480.5365569591522
82.86107831562377%,490.5447759628296
82.80860553587826%,500.55652236938477
82.78236914600551%,510.5697388648987
82.73208273208273%,520.580718755722
82.67960995233723%,530.5931651592255
82.62713717259172%,540.603283405304
82.57466439284622%,550.6167001724243
82.52437797892344%,560.6300234794617
82.47190519917793%,570.6432178020477
82.41943241943243%,580.6530652046204
82.39319602955966%,590.6663506031036
